,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
276,2003-07-03,0,0,0,0,
277,2003-07-04,0,0.0797445,0,0,
278,2003-07-05,2,2.4807,2.7,2.7,
279,2003-07-06,16,1.27623,0.1,0.1,
280,2003-07-07,2.4,10.2836,11.4,11.4,
281,2003-07-08,0.2,0.839872,0.8,0.8,
282,2003-07-09,0,0.400319,0.5,0.5,
283,2003-07-10,1.8,3.64083,3.9,3.9,
284,2003-07-11,12.6,7.75661,6.7,6.7,
285,2003-07-12,2.2,0.958212,0.4,0.4,
286,2003-07-13,0,0.139872,0.1,0.1,
287,2003-07-14,0,0,0,0,
288,2003-07-15,6.8,13.8589,13.5,13.5,
289,2003-07-16,0,0.720575,0.9,0.9,
290,2003-07-17,0.2,0,0,0,
291,2003-07-18,0,0,0,0,
292,2003-07-19,0,0,0,0,
293,2003-07-20,3,3.5193,3.3,3.3,
294,2003-07-21,2,8.07815,7.5,7.5,
295,2003-07-22,0,0.0800639,0.1,0.1,
296,2003-07-23,0,0,0,0,
297,2003-07-24,0,0.0398723,0,0,
298,2003-07-25,0,0,0,0,
299,2003-07-26,3.4,0.320255,0.4,0.4,
300,2003-07-27,0.4,0,0,0,
301,2003-07-28,0,0,0,0,
302,2003-07-29,0,0,0,0,
303,2003-07-30,0,0,0,0,
304,2003-07-31,7,1.71578,0.4,0.4,
305,2003-08-01,7.6,0.398723,0,0,
306,2003-08-02,1.2,3.99872,3.6,3.6,
307,2003-08-03,38,11.3094,8,8,
308,2003-08-04,0,0.0398723,0,0,
309,2003-08-05,6.6,7.18499,2.5,2.5,
310,2003-08-06,1.2,2.76141,3.2,3.2,
311,2003-08-07,0.2,2.80224,3.5,3.5,
312,2003-08-08,0,0,0,0,
313,2003-08-09,0.4,0.0800639,0.1,0.1,
314,2003-08-10,0,0,0,0,
315,2003-08-11,11,14.1442,9.2,9.2,
316,2003-08-12,8,1.15981,1.1,1.1,
317,2003-08-13,0,0.0800639,0.1,0.1,
